Timestamp,Node Name,Date,Time,Day of the week,emmState_registered_subscriber_count,emmState_deregistered_subscriber_count,ecmState_connected_subscriber_count,ecmState_idle_subscriber_count,amfRmState_registered_subscriber_count,amfRmState_deregistered_subscriber_count,amfCmState_connected_subscriber_count,amfCmState_idle_subscriber_count,subscriber_count,N2_enabled,N2_disabled,N2_total,N12_enabled,N12_disabled,N12_total,N8_enabled,N8_disabled,N8_total,N11_enabled,N11_disabled,N11_total,N15_enabled,N15_disabled,N15_total,s1mme_enabled,s1mme_disabled,s1mme_total,s6ad_enabled,s6ad_disabled,s6ad_total,s11_enabled,s11_disabled,s11_total,sgs_enabled,sgs_disabled,sgs_total,NT_AMF_PCMD,NT_SGSN_PCMD,NT_MME_PCMD,Cluster,Cluster_Label
2024-04-15 13:14:28,AMF-INFRA,2024-04-15,13:14:28,Monday,0,0,0,0,1,0,0,1,1,22,12,34,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,Low
2024-04-15 13:14:28,AMF-SLAB-BLR,2024-04-15,13:14:28,Monday,0,0,0,0,4,3,0,7,7,8,10,18,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:28,AMF-GUMPERT-SRN-BLR,2024-04-15,13:14:28,Monday,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:28,TC4-CMM-BILLA-SRN-BLR,2024-04-15,13:14:28,Monday,76,29,45,60,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,18,291,3,0,3,6,1,7,3,0,3,0,0,2731,5,Very Critical Level 1
2024-04-15 13:14:28,cMM_AMF-Blackbird-SRN-BLR,2024-04-15,13:14:28,Monday,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:28,CMM-INOX,2024-04-15,13:14:28,Monday,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20,2,2,4,1,0,1,2,0,2,0,20,18,0,Moderate
2024-04-15 13:14:28,CMM-SLAB-SRN-BLR,2024-04-15,13:14:28,Monday,6,3,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,1,0,1,1,0,1,1,0,1,0,0,40,3,Low
2024-04-15 13:14:28,TC4-CMM-DOLLY-SRN-BLR,2024-04-15,13:14:28,Monday,2,0,1,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,24,3,0,3,3,0,3,3,1,4,0,24,12,0,Moderate
2024-04-15 13:14:28,AMF-KODIAQ-SRN-BLR,2024-04-15,13:14:28,Monday,0,0,0,0,139,89,44,181,228,210,40,250,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,0,3,Low
2024-04-15 13:14:28,TCMM-Nexon-SRN-BLR,2024-04-15,07:44:28,Monday,2,0,2,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,13,2,0,2,1,0,1,2,0,2,0,0,44,0,Moderate
2024-04-15 13:14:29,CMM-LOKI-NCS,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,0,Moderate
2024-04-15 13:14:29,NSA-06-CMM,2024-04-15,10:44:31,Monday,1,8,1,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,1,0,1,3,0,3,0,0,20,0,Moderate
2024-04-15 13:14:29,AMF-03-B,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:29,AMF-SA-05,2024-04-15,10:44:30,Monday,0,0,0,0,6,5,1,10,11,19,11,30,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,Low
2024-04-15 13:14:29,CMM-NSA-04,2024-04-15,10:44:31,Monday,18,6,13,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,3,0,3,1,0,1,3,0,3,0,0,590,0,Moderate
2024-04-15 13:14:29,AMF3,2024-04-15,10:44:31,Monday,0,0,0,0,158,143,81,221,301,114,36,150,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4804,0,0,3,Low
2024-04-15 13:14:29,AMF-SA-07,2024-04-15,10:44:31,Monday,0,0,0,0,4,12,1,15,16,21,10,31,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,Low
2024-04-15 13:14:29,CMM-JOKI-RACK1,2024-04-15,10:44:31,Monday,33641,3861,24891,12816,0,0,0,0,37543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,2,0,2,1,0,1,2,0,2,0,0,3313024,2,Very Critical Level 2
2024-04-15 13:14:29,cmm-apple-187,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,305,0,0,Moderate
2024-04-15 13:14:29,CMM1,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,1,0,1,4,0,4,0,207,0,0,Moderate
2024-04-15 13:14:29,CMM-12-SRN-OULU,2024-04-15,10:44:31,Monday,26005,14361,9163,31230,0,0,0,0,42851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,4,199,3,0,3,3,0,3,2,0,2,0,19153,1567759,2,Very Critical Level 2
2024-04-15 13:14:32,CMM3 TA,2024-04-15,10:44:34,Monday,462,121,279,303,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,100,3,0,3,4,0,4,4,0,4,0,768,28171,0,Moderate
2024-04-15 13:14:29,CMM-01-B-SRN-ESPOO,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,Moderate
2024-04-15 13:14:29,CMM03-B-SRN-Espoo,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:29,CMM-LEO,2024-04-15,10:44:30,Monday,4,0,2,2,10,6,1,15,20,21,5,26,2,0,2,2,0,2,2,0,2,0,0,0,23,0,23,4,0,4,3,0,3,2,0,2,35,0,53,0,Moderate
2024-04-15 13:14:29,CMM-VIVAN-NCS,2024-04-15,10:44:31,Monday,0,0,0,0,1,0,0,1,1,0,1,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,4,0,4,1,0,1,2,0,2,0,0,0,0,Moderate
2024-04-15 13:14:29,CMM-PETUNIA-SRN-ESPOO,2024-04-15,10:44:30,Monday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,0,Moderate
2024-04-15 13:14:29,CMM-JERRY-NCS,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,Moderate
2024-04-15 13:14:29,CMM-STINGRAY-SRN-ESPOO,2024-04-15,10:44:30,Monday,0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low
2024-04-15 13:14:32,CMM-JACK-SRN-ESPOO,2024-04-15,10:44:34,Monday,0,0,0,0,4,0,3,1,4,11,3,14,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Low
2024-04-15 13:14:29,CMM-SPARROW,2024-04-15,10:44:31,Monday,38,2,37,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,2,0,2,2,0,2,2,0,2,0,766,148,0,Moderate
2024-04-15 13:14:29,AMF NALA,2024-04-15,10:44:30,Monday,0,0,0,0,232,120,93,258,352,548,82,630,4,0,4,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,1,High
2024-04-15 13:14:29,CMM-JAMES-SRN-ESPOO,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,2,0,0,0,0,Moderate
2024-04-15 13:14:29,AMF_JIll,2024-04-15,10:44:30,Monday,0,0,0,0,88,44,26,106,132,266,32,298,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,0,2,506,0,0,1,High
2024-04-15 13:14:29,CMM-SUN,2024-04-15,10:44:30,Monday,2,0,0,2,0,2,0,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,4,0,4,3,0,3,2,0,2,0,0,11,0,Moderate
2024-04-15 13:14:29,CMM-NIKE-181,2024-04-15,10:44:30,Monday,306,70,156,226,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,9,655,5,0,5,8,0,8,2,0,2,0,0,4183,5,Very Critical Level 1
2024-04-15 13:14:29,CMM-SIMA-NCS,2024-04-15,10:44:35,Monday,0,0,0,0,1640,1928,1318,2229,3543,5,1,6,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,105827,0,0,0,Moderate
2024-04-15 13:14:29,CMM-11-SRN-OULU,2024-04-15,10:44:31,Monday,31791,22967,14716,39909,49268,43493,20402,72150,147746,283,39,322,4,0,4,2,0,2,2,0,2,0,0,0,202,4,206,2,0,2,3,0,3,2,0,2,2624235,0,3078940,4,Critical
2024-04-15 13:14:29,CMM-PUMA-SRN-ESPOO,2024-04-15,10:44:31,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0,0,Moderate
